Uploaded Files,上传文件
"New Posts",新文章
"Blog Posts",博客文章
"Post %title% will be deleted, are you sure?",文章%title%将会被删除，确定吗？
﻿"Add New Post",添加新文章
"Add files",添加文件
Admin,管理员
"Admin Panel",管理面板
Authority,权限
Category,目录
"Category And Tags",目录与标签
"Category List",目录列表
"Clear Cache",清除缓存
Closed,已关闭
"Code Type",代码类型
"Comment Setting",评论设置
"Comment Status",评论状态
"Comment Type",评论类型
Content,内容
"Delete File",删除文件
Description,描述
Duoshuo,多说
"Edit Post",编辑文章
"File Edit",编辑文件
"File Name",文件名
"File Size",文件大小
"Filter Files",筛选文件
"Filter Posts",筛选文章
From,从
Home,主页
"Image Height",图片高度
"Image Width",图片宽度
"Is Image",是否为图片
Local,本地
"Meta Description",Meta描述
"Meta Keywords",Meta关键词
"Only Images",只看图片
Open,打开
"Original Name",原名
"Post List",文章列表
"Post Password",文章密码
"Post Setting",文章设置
"Post Status",文章状态
"Post Title",文章标题
"Post Url",文章URL
"SEO Setting",SEO设置
"Save As Draft",存为草稿
"Select Category",选择目录
"Select File",选择文件
"Select Status",选择状态
"Select Visibility",选择可见性
"Start upload",开始上传
Time,时间
To,到
"Upload Failed",上传失败
"Upload File",上传文件
"Upload Process",上传进度
"Upload Succeed",上传成功
Visibility,可见性
﻿"Add New Category",添加新目录
"Category Name",目录名称
"Category Url",目录URL
"No input will create a random url",无输入则自动生成随机URL
"Create Category",新建目录
"Category %name% will be deleted, are you sure?",目录%name%将会被删除，确定吗？
Copy,复制
"Delete Category",删除目录
"Download File",下载文件
"Edit Category",编辑目录
"Edit File",编辑文件
"Edit File Info",编辑文件信息
"File Hash",文件哈希值
"File Info",文件信息
"File Upload Time",文件上传时间
"Go Back",返回
"New Post Created",文章创建成功
"Post Edit Failed",文章创建失败
"Post Edit Succeed",文件编辑成功
Thumbnail,缩略图
"Thumbnail Url",缩略图链接
"Search Posts",搜索文章
